Unnamed: 0,pokedex_number,name,german_name,japanese_name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,num,types,genderRatio,baseStats,abilities,heightm,weightkg,color,evos,eggGroups,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,changesFrom,evoType,gender,gen,evoItem,evoCondition,canHatch,evoMove,tags,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,requiredItems,// TODO,cannotDynamax,pokestarsmeargle,tier
0,1,"""bulbasaur""",Bisasam,フシギダネ (Fushigidane),1,0,0,0,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,70.0,64.0,Medium Slow,2,Grass,Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,"[""Grass"", ""Poison""]","{M: 0.875, F: 0.125}","{hp: 45, atk: 49, def: 49, spa: 65, spd: 65, spe: 45}","{0: ""Overgrow"", H: ""Chlorophyll""}",0.7,6.9,"""Green""","[""Ivysaur""]","[""Monster"", ""Grass""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""LC"""
1,2,"""ivysaur""",Bisaknosp,フシギソウ (Fushigisou),1,0,0,0,Seed Pokémon,2,Grass,Poison,1.0,13.0,2,Overgrow,,Chlorophyll,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,70.0,142.0,Medium Slow,2,Grass,Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2,"[""Grass"", ""Poison""]","{M: 0.875, F: 0.125}","{hp: 60, atk: 62, def: 63, spa: 80, spd: 80, spe: 60}","{0: ""Overgrow"", H: ""Chlorophyll""}",1,13,"""Green""","[""Venusaur""]","[""Monster"", ""Grass""]","""Bulbasaur""",16,,,,,,,,,,,,,,,,,,,,,,,,,,"""NFE"""
2,3,"""venusaur""",Bisaflor,フシギバナ (Fushigibana),1,0,0,0,Seed Pokémon,2,Grass,Poison,2.0,100.0,2,Overgrow,,Chlorophyll,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,70.0,236.0,Medium Slow,2,Grass,Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,3,"[""Grass"", ""Poison""]","{M: 0.875, F: 0.125}","{hp: 80, atk: 82, def: 83, spa: 100, spd: 100, spe: 80}","{0: ""Overgrow"", H: ""Chlorophyll""}",2,100,"""Green""",,"[""Monster"", ""Grass""]","""Ivysaur""",32,"[""Venusaur-Mega""]","[""Venusaur"", ""Venusaur-Mega""]","""G-Max Vine Lash""",,,,,,,,,,,,,,,,,,,,,,,"""RUBL"""
4,4,"""charmander""",Glumanda,ヒトカゲ (Hitokage),1,0,0,0,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,70.0,62.0,Medium Slow,2,Dragon,Monster,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,4,"[""Fire""]","{M: 0.875, F: 0.125}","{hp: 39, atk: 52, def: 43, spa: 60, spd: 50, spe: 65}","{0: ""Blaze"", H: ""Solar Power""}",0.6,8.5,"""Red""","[""Charmeleon""]","[""Monster"", ""Dragon""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""LC"""
5,5,"""charmeleon""",Glutexo,リザード (Lizardo),1,0,0,0,Flame Pokémon,1,Fire,,1.1,19.0,2,Blaze,,Solar Power,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,70.0,142.0,Medium Slow,2,Dragon,Monster,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,5,"[""Fire""]","{M: 0.875, F: 0.125}","{hp: 58, atk: 64, def: 58, spa: 80, spd: 65, spe: 80}","{0: ""Blaze"", H: ""Solar Power""}",1.1,19,"""Red""","[""Charizard""]","[""Monster"", ""Dragon""]","""Charmander""",16,,,,,,,,,,,,,,,,,,,,,,,,,,"""NFE"""
6,6,"""charizard""",Glurak,リザードン (Lizardon),1,0,0,0,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,70.0,240.0,Medium Slow,2,Dragon,Monster,87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,6,"[""Fire"", ""Flying""]","{M: 0.875, F: 0.125}","{hp: 78, atk: 84, def: 78, spa: 109, spd: 85, spe: 100}","{0: ""Blaze"", H: ""Solar Power""}",1.7,90.5,"""Red""",,"[""Monster"", ""Dragon""]","""Charmeleon""",36,"[""Charizard-Mega-X"", ""Charizard-Mega-Y""]","[""Charizard"", ""Charizard-Mega-X"", ""Charizard-Mega-Y""]","""G-Max Wildfire""",,,,,,,,,,,,,,,,,,,,,,,"""PU"""
9,7,"""squirtle""",Schiggy,ゼニガメ (Zenigame),1,0,0,0,Tiny Turtle Pokémon,1,Water,,0.5,9.0,2,Torrent,,Rain Dish,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,70.0,63.0,Medium Slow,2,Monster,Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,7,"[""Water""]","{M: 0.875, F: 0.125}","{hp: 44, atk: 48, def: 65, spa: 50, spd: 64, spe: 43}","{0: ""Torrent"", H: ""Rain Dish""}",0.5,9,"""Blue""","[""Wartortle""]","[""Monster"", ""Water 1""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""LC"""
10,8,"""wartortle""",Schillok,カメール (Kameil),1,0,0,0,Turtle Pokémon,1,Water,,1.0,22.5,2,Torrent,,Rain Dish,405.0,59.0,63.0,80.0,65.0,80.0,58.0,45.0,70.0,142.0,Medium Slow,2,Monster,Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,8,"[""Water""]","{M: 0.875, F: 0.125}","{hp: 59, atk: 63, def: 80, spa: 65, spd: 80, spe: 58}","{0: ""Torrent"", H: ""Rain Dish""}",1,22.5,"""Blue""","[""Blastoise""]","[""Monster"", ""Water 1""]","""Squirtle""",16,,,,,,,,,,,,,,,,,,,,,,,,,,"""NFE"""
11,9,"""blastoise""",Turtok,カメックス (Kamex),1,0,0,0,Shellfish Pokémon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,70.0,239.0,Medium Slow,2,Monster,Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,9,"[""Water""]","{M: 0.875, F: 0.125}","{hp: 79, atk: 83, def: 100, spa: 85, spd: 105, spe: 78}","{0: ""Torrent"", H: ""Rain Dish""}",1.6,85.5,"""Blue""",,"[""Monster"", ""Water 1""]","""Wartortle""",36,"[""Blastoise-Mega""]","[""Blastoise"", ""Blastoise-Mega""]","""G-Max Cannonade""",,,,,,,,,,,,,,,,,,,,,,,"""NU"""
13,10,"""caterpie""",Raupy,キャタピー (Caterpie),1,0,0,0,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,70.0,39.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10,"[""Bug""]",,"{hp: 45, atk: 30, def: 35, spa: 20, spd: 20, spe: 45}","{0: ""Shield Dust"", H: ""Run Away""}",0.3,2.9,"""Green""","[""Metapod""]","[""Bug""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""LC"""
